TIPO LOGR,LOGRD,NUMERO,BAIRRO,MUNICIPIO,UF,Latitude,Longitude
RUA,CEL. JOSE DE ALBUQUERQUE,515,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,SENADOR JOAO TOME,08,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,VEREADOR SALUSTIANO MOURA,478,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,VEREADOR SALUSTIANO MOURA,575,CENTRO,Cedro,CE,-6.60667,-39.06222
SITIO,ANGICOS,SN,ZONA RURAL,Cedro,CE,-6.60667,-39.06222
RUA,MESTRE LUIZ BEZERRA,141,PRADO,Cedro,CE,-6.60667,-39.06222
RUA,CEL JOSE DE ALBUQUERQUE,516,CENTRO,Cedro,CE,-6.60667,-39.06222
DISTRITO,UBALDINHO,SN,ZONA RURAL,Cedro,CE,-6.60667,-39.06222
RUA,ZE PAJE,393,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,CEL JOSE DE ALBUQUERQUE,590,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,GALERIA BACANA,SN,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,SENADOR JOAO TOME,008,CENTRO,Cedro,CE,-6.60667,-39.06222
AVENIDA,AVENIDA PEDRO LOPES VIEIRA,SN,PEGA AVOANTE,Cedro,CE,-6.60667,-39.06222
DISTRITO,VARZEA DA CONCEICAO,SN,ZONA RURAL,Cedro,CE,-6.60667,-39.06222
RUA,VEREADOR SALUSTIANO MOURA,561,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,JOAQUIM FERREIRA DA SILVA,69,FATIMA,Cedro,CE,-6.6038267,-39.0627788
RUA,PREFEITO ANTONIO ALVES DOS SANTOS,187,FATIMA,Cedro,CE,-6.6048196,-39.0634008
RUA,ZE PAJE,210,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,RUA PADRE SA,240,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,LIDUINA ALVES DE MELO,148 A,FATIMA,Cedro,CE,-6.6030806,-39.0618967
RUA,SENADOR JOAO TOME,78,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,Dep. Liberato Moacir Aguiar,124,Centro,Cedro,CE,-6.60667,-39.06222
RUA,CORONEL JOAO CANDIDO,36,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,PREFEITO ANTONIO ALVES DOS SANTOS,60,FATIMA,Cedro,CE,-6.6048196,-39.0634008
1A RUA,JOSE PACIFICO DA SILVA,42,PRADO,Cedro,CE,-6.6032459,-39.0569517
RUA,SAO JOSE,800,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,SENADOR JOAO TOME,106,CENTRO,Cedro,CE,-6.60667,-39.06222
10A AVENIDA,PEDRO LOPES VIEIRA,340,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,MONSENHOR ANTONIO VIEIRA COSTA,388,ALTO DO PADEIRO,Cedro,CE,-6.6086213,-39.0575485
AVENIDA,CEL MANOEL ALEXANDRE DE MOURA,2053,PEGA AVOANTE,Cedro,CE,-6.60667,-39.06222
